Pharmacodia ID,Target,Type,Therapeutic Area,Development Phase,Exclusive Partership
89585389795827916578,B7-H2,,,,
55851758659778916469,B7-H3,,,,
83289583030144916336,B7-H4,,,,
79985221955958916466,BAFFR,,,,
70693036517368916818,BIRC5,,,,
59274403593916916953,C3,,,,
86849750309301916508,C5a,,,,
54723516511603916859,CACNA2D1,,,,
42243263828488916869,CCL11,,,,
85557227442131916926,CCR1,,,,
76724920909085916221,CCR3,,,,
55306105777820916458,CD10,,,,
31149628631465916880,CD106,,,,
57961220151422916431,CD142,,,,
08161605990734916246,CD18,,,,
08658265338578916276,CD19,,,,
28720966962433916962,CD1D,,,,
15704883039394916560,CD205,,,,
15892773237899916950,CD23,,,,
55655070459597916180,CD27,,,,
57885634250413916586,CD45RB,,,,
66828665893569916636,CD46,,,,
31604609394284916839,CD48,,,,
41769138261362916519,CD49b,,,,
56467653341964916397,CD49d,,,,
66894713897960916329,CD54,,,,
17532840296690916853,CD59,,,,
20761358688836916797,CD62L,,,,
97240823256319916544,CD62P,,,,
81011440780449916714,CD7,,,,
74724715854221916843,CD71,,,,
43796496802684916248,CD80,,,,
45565885477456916481,CD86,,,,
88944873770003916120,CDH2,,,,
44317419277371916393,CFB,,,,
1310451640410575058,CGRP,,,,
33090788836563916891,CLDN6,,,,
04350381698587916968,CLEC4C,,,,
92936647445121916406,CLU,,,,
32041683596266916595,c-MYC,,,,
30425329449376916296,CRACM1,,,,
66016016904358916610,CTGF,,,,
78904291006321916257,CTLA4,,,,
00430643659703916543,CX3CL1,,,,
98471047413486916295,CXCR4,,,,
46964100323087916369,DHFR,,,,
25867640997118916818,DKK1,,,,
60761882606562916318,DLL3,,,,
57300513357037916947,DLL4,,,,
83780033797898916476,DR4,,,,
03304598841459916522,EDNRA,,,,
68764075540305916174,EGFL7,,,,
72194324001460916917,EPCAM,,,,
23781858800383916625,EPHA3,,,,
87869652015706916202,EPHB4,,,,
93074488256362916590,FCGR1,,,,
51954379428262916870,FFAR1,,,,
34575248282844916742,FGF21,,,,
09879904612150916739,FGF23,,,,
58515680034618916233,FGFR1,,,,
70582932807103916260,FGFR2,,,,
69101446028366916498,FGFR3,,,,
83699669692262916613,FN1,,,,
28641163374798916312,FOLR1,,,,
99376684457857916944,FXa,,,,
41931322576240916462,FZD10,,,,
68872603873977916174,FZD7,,,,
82657388042681916136,G-CSFR,,,,
45944238912474916762,GNRHR,,,,
30973073884855916687,GPC3,,,,
37972375419378916562,GPR84,,,,
03300307107566916524,HAMP,,,,
06753583376099916169,HBEGF,,,,
25624731982117916277,HDM2,,,,
76321457181224916753,HER2,,,,
91871206869016916419,HER3,,,,
37848628072571916229,HER4,,,,
98513421396890916247,HGF,,,,
63718417158614916477,HSPA5,,,,
29829875523264916973,IFNAR1,,,,
15561814756739916782,IFNG,,,,
63479132982572916645,IGF1,,,,
02307456434040916363,IGF1R,,,,
1310451640410575060,IL11,,,,
19685317757960916760,IL11RA,,,,
01579470033279916559,IL13RA2,,,,
27945173609573916410,IL16RB,,,,
1310451640410575062,IL18BP,,,,
1310451640410575064,IL18RA,,,,
55328561551078916213,IL1R,,,,
64821165656440916792,IL2,,,,
1310451640410575066,IL22RA,,,,
1310451640410575068,IL31,,,,
69953000040696916967,IL36R,,,,
05191137118987916544,IL4RA,,,,
02158733726351916942,IL5R,,,,
43797324723715916953,IL7RA,,,,
77386074600741916234,IL8,,,,
35385874910146916180,ILT7,,,,
47217518607394916824,ITGA9,,,,
26974522861770916621,ITGAL,,,,
1310451640410575070,ITGB7,,,,
09117613835246916645,KIR2DL1,,,,
92867985181034916368,KIR2DL2,,,,
41026192067037916575,KIR2DL3,,,,
91687245352227916358,KIR3DL2,,,,
10760507684901916972,KIT,,,,
82271959624812916450,KLK2,,,,
98155555386054916821,KRAS,,,,
17203746289430916805,LGR5,,,,
1306110757150130294,LILRB2,,,,
55964799397868916279,LINGO-1,,,,
25984551399914916903,LIV-1,,,,
00286026827920916430,LRRC15,,,,
07340745167804916871,LTA,,,,
46139033657595916324,LTBR,,,,
66836462839454916145,MADCAM1,,,,
09238649229821916117,M-CSF,,,,
77042272957146916606,MDR-1,,,,
89575321706743916515,MET,,,,
83850204050873916825,MMP-14,,,,
84170532869546916423,MMP-2,,,,
21637559468862916238,MMP-9,,,,
72813100630636916815,MSP1R,,,,
44341300980003916941,MUC18,,,,
18748689748358916559,NCL,,,,
60667102785278916145,NGF,,,,
55286018400206916835,Nogo-A,,,,
67906168731846916701,Notch1,,,,
23505916659437916474,Notch2,,,,
16758137466226916847,NRP1,,,,
04169750574622916879,OX40L,,,,
87808894260546916465,P2X7,,,,
12733715526825916728,PCSK9,,,,
81409915318183916744,PDGFRa,,,,
44891215618383916429,PDGFRb,,,,
61057443668665916268,PRLR,,,,
79955849275690916310,PSCA,,,,
95100625238137916657,PTK7,,,,
80171082550426916293,RAGE,,,,
97242359437971916719,RANKL,,,,
43535222652793916898,RGMa,,,,
05020145115581916112,ROBO1,,,,
80778830314379916459,ROR1,,,,
35562683419243916514,S1P1,,,,
24721907696695916581,SEMA4D,,,,
07505985549278916829,SIGLEC8,,,,
22836338213386916922,SLAMF7,,,,
01123161100982916104,SLC34A2,,,,
59352411958432916673,SLC7A5,,,,
74133949430368916666,SSTR2,,,,
