Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs,Pharmacodia ID
CD48,"CD48, BCM1, BLAST","Inflammation and Autoimmunity,  Oncology,  Gastrointestinal",F0,No,2,96193414205365916874
CD5,"CD5, T1, LEU1","Oncology,  Inflammation and Autoimmunity,  Metabolism,  Others",F0,No,2,64973103667172916313
CD52,"CD52, HE5, EDDM5","Oncology, Inflammation and Autoimmunity",F0,No,7,17756226822117916860
CD54,"BB2, CD54, P3.58","Oncology, Inflammation and Autoimmunity",F0,No,13,38804715200151916797
CD56,CD56,"Oncology, Inflammation and Autoimmunity",F0,No,3,71804658338521916886
CD6,"CD6, TP120","Oncology, Inflammation and Autoimmunity, Metabolism",F0,No,2,09703215307519916974
CD61,"CD61, GPIIIa, ITGB3",Oncology,F0,No,0,46816161531326916133
CD62E,"ELAM, CD62E, SELE",Inflammation and Autoimmunity,F0,No,11,49519632397865916268
CD62P,"CD62P, GRMP, SELP","Inflammation and Autoimmunity, Cardiovascular",F0,No,8,74162531070476916983
CD63,"CD63, MLA1, TSPAN30","Oncology, Inflammation and Autoimmunity",F0,No,0,14298893426153916280
CD7,"CD7, GP40, TP41","Oncology,  Infectious Diseases",F0,No,9,56200896022390916811
CD70,"CD27L, TNFSF7, CD70","Oncology, Inflammation and Autoimmunity",F0,No,9,1310451640410575030
CD73,CD73,Oncology,F2(-/-),No,13,57205569033259916223
CD74,"CD74, p33,  DHLAG,  HLADG","Oncology, Inflammation and Autoimmunity",F0,No,8,73668506199811916254
CD79b,"CD79b, AGM6, B29","Oncology, Inflammation and Autoimmunity",F0,No,3,30266526516741916336
CD8,"CD8, p32, Leu2","Oncology, Inflammation and Autoimmunity",F0,No,0,23250019070616916796
CD80,"CD80, B7-1, CD28LG","Oncology, Inflammation and Autoimmunity",F0,No,15,03801258456684916217
CD83,"CD83, BL11, HB15","Inflammation and Autoimmunity,  Oncology",F0,No,0,82280785182307916413
CD96,CD96,Oncology,F2(-/-),No,0,12713442303282916135
CDCP1,"CDCP1, CD318, TRASK",Oncology,F0,No,0,63536745839153916590
CDH17,"CDH17, HPT1",Oncology,F0,No,0,1310451640410575032
CDH3,"CDH3, CDH15, CADH3",Oncology,F1(+/-),No,4,22424155011510916836
CFB,"CFB, PBF2, AHUS4","Inflammation and Autoimmunity,  Ophthalmology,  Infectious Diseases,  Others,  Urological Diseases,  Cardiovascular",F0,No,3,68469461003699916334
CFI,"CFI, AHUS3, C3BINA","Inflammation and Autoimmunity,  Neuroscience",F0,No,0,55819445450384916845
CGRP,"CGRP, CALC1, CGRP1","Neuroscience, Metabolism",F0,No,0,18985413768736916312
Claudin 18.2,Claudin 18.2,Oncology,Immunization,No,8,43924804952673916842
CLDN3,"CLDN3, RVP1, CPETR2",Oncology,F0,No,0,45161167916037916731
CLDN4,"CLDN4, CPER, WBSCR8",Oncology,F0,No,0,71351630127021916862
CLEC12A,"CLL1, CD371, CLEC12A",Oncology,,Yes,6,1310451640410575034
CLU,"CLU, APOJ, SGP2",Oncology,F0,No,2,87453896485585916299
CNGB1,"CNGB1, GARP2",Ophthalmology,F0,No,0,96693969738336916784
CRCP,"CRCP, CGRPRCP",Neuroscience,F0,No,0,57822612170208916231
CRTH2,"CRTH2, PTGDR2",Inflammation and Autoimmunity,F2(-/-),No,21,44464211505840916206
CSF1R,"CSFR, CD115, CSF1R","Oncology, Inflammation and Autoimmunity",F0,No,28,31828099555148916285
CSF2RA,"CSF2RA, CD116, CSF2R",Inflammation and Autoimmunity,F0,No,0,88942008418766916988
CX3CL1,"CX3CL1, CXC3C",Inflammation and Autoimmunity,F0,No,1,97865375327357916545
CX3CR1,"CX3CR1, GPR13, CMKDR1",Cardiovascular,F0,No,2,08446898862424916684
CXCL10,"CXCL10, IFI10, INP10",Inflammation and Autoimmunity,F0,No,5,63602013038599916337
CXCL13,"CXCL13, BLC, ANGIE","Oncology, Inflammation and Autoimmunity, Infectious Diseases",F0,No,0,1310451640410575036
CXCR2,"CD182, IL8RB, CXCR2","Oncology, Inflammation and Autoimmunity",F1(+/-),No,10,90544556903243916298
CXCR3,"CD182, CD183, CXCR3","Oncology, Inflammation and Autoimmunity",F1(+/-),No,3,04681502849961916923
CXCR5,"BLR1, CD185, CXCR5","Oncology, Inflammation and Autoimmunity",F1(+/-),No,1,47482556424049916274
DDR1b,DDR1b,"Oncology, Cardiovascular",F0,No,0,44976656254571916243
DKK2,DKK-2,Oncology,F0,No,0,33192063159190916307
DR5,"DR5, CD262, TNFRSF10B",Oncology,F0,No,22,54604055145346916427
EMP2,"EMP2, XMP",Oncology,F0,No,0,1310451640410575038
EPHA2,"EPHA2, ECK, CTRCT6",Oncology,F0,No,8,91020535233631916244
EPHA3,"EPHA3, EK4, TYRO4",Oncology,F0,No,1,82849458975896916632
FAP,FAP,Oncology,F2(-/-),No,8,1310451640410575040
FCGR1,CD64,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,6,17049336557942916698
FCRL5,"FCRL5, CD307, IRTA2",Oncology,F0,No,1,83545398982601916199
FcRn,"FcRn, FCGRT",Inflammation and Autoimmunity,F0,No,6,42983332049452916554
FGF2,"FGF2, BFGF, FGFB",Oncology,F0,No,10,29461854685250916363
FGF21,FGF21,Metabolism,F0,No,1,34841917747295916806
FGFR4,"FGFR4,  JTK2, CD334",Oncology,F0,No,17,21598965952541916934
FLT3,"FLT3, FLK2, CD135","Oncology, Inflammation and Autoimmunity",F0,No,66,1310451640410575042
FZD10,"FZD10, Fz10, CD350",Oncology,F0,No,1,1310451640410575044
GARP,"GARP, LRRC32","Oncology, Inflammation and Autoimmunity",,Yes,1,13590665151072916995
GCGR,GCGR,Metabolism,Immunization,No,50,31645456493265916792
GITR,GITR,Oncology,F1(+/-),No,12,1310451640410575046
GLP1R,"GLP1R, GLP-1",Metabolism,F0,No,130,72405101970909916204
GM-CSF,"GM-CSF, CSF2","Oncology, Inflammation and Autoimmunity",F0,No,12,1310451640410575048
GP100,"GP100, SIL, ME20",Oncology,F0,No,3,02011191198432916912
GPA33,GPA33,Oncology,F0,No,4,88621787568658916316
GPC3,"GPC3, OCI-5, GTR2-2",Oncology,F0,No,10,30751819539021916561
GPR77,"GPR77, C5AR2",Oncology,F1(+/-),No,0,41162214347632916358
GPR84,"GPR84, EX33, GPCR4",Inflammation and Autoimmunity,F0,No,2,22899326610400916253
GPRC5D,GPRC5D,Oncology,F2(-/-),No,1,30557258460640916196
GRP,"GRP, GRP-10, proGRP","Oncology, Infectious Diseases",F0,No,4,46764371590695916252
GUCY2C,"GUCY2C, STAR, MECIL",Oncology,F0,No,4,90536468979644916581
ICOS,"ICOS, CD278",Oncology,F1(+/-),No,7,1310451640410574919
IFNAR1,"IFNAR1, AVP, IFNBR","Inflammation and Autoimmunity, Urological Diseases",F0,No,5,1310451640410575050
IFNB1,"IFNB1, IFNB, IFN-beta",Inflammation and Autoimmunity,F0,No,21,38921526126169916746
IFNG,"IFNG, IFG, IFI","Inflammation and Autoimmunity, Infectious Diseases",F0,No,20,78680331462859916290
IL10,IL-10,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,11,39967709229869916242
IL10RA,IL-10RA,Inflammation and Autoimmunity,F2(-/-),No,0,61032525534389916396
IL11,IL11,"Oncology, Infectious Diseases",F0,No,0,38111845132564916747
IL11RA,"IL11RA, CRSDA","Oncology, Infectious Diseases",F0,No,12,1310451640410575052
IL12B,"IL12B, CLMF, NKSF",Inflammation and Autoimmunity,F0,No,2,23645542959569916341
IL12RB1,"IL12RB1, CD212",Inflammation and Autoimmunity,F0,No,0,06027288113026916542
IL13,IL13,Inflammation and Autoimmunity,F1(+/-),No,15,1310451640410575054
IL13RA1,IL13RA1,"Oncology, Inflammation and Autoimmunity",F0,No,0,32296005354379916552
IL15,IL15,"Oncology, Inflammation and Autoimmunity",F0,No,6,79714985011981916982
IL17A,"IL17A, CTLA-8",Inflammation and Autoimmunity,F1(+/-),No,19,27554931889835916868
IL17F,IL17F,Inflammation and Autoimmunity,F1(+/-),No,2,14970618143896916646
IL17RA,IL-17RA,Inflammation and Autoimmunity,F1(+/-),No,4,54717611867037916409
IL18,"IL18, IL1F4, IGIF",Inflammation and Autoimmunity,F0,No,5,66147303301116916890
IL18BP,"IL18BP, FVHa","Oncology, Inflammation and Autoimmunity",F0,No,0,19865102961534916994
IL18RA,"IL18RA, CD218a","Oncology, Inflammation and Autoimmunity",F0,No,0,78580917798396916493
IL18RAP,"IL18RAP, IL18RB","Oncology, Inflammation and Autoimmunity",F0,No,0,42005763161498916999
IL1A,IL-1A,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,14,39619912108046916857
IL1B,IL1B,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,30,23518951860670916323
IL1R,"IL-1R1, IL1R, CD121","Oncology, Inflammation and Autoimmunity",F0,No,22,26567826078845916755
IL1RAP,"IL-1RAP, IL1RAP, IL1R3","Oncology, Inflammation and Autoimmunity",F1(+/-),No,0,14431346138653916680
IL20,"IL-20, IL10D, ZCYTO10",Inflammation and Autoimmunity,F0,No,1,57906774692304916129
IL21,IL21,Inflammation and Autoimmunity,F1(+/-),No,5,1310451640410575056
IL21R,"IL21R, NILR, CD360",Inflammation and Autoimmunity,F0,No,1,1310451640410574975
IL22,"IL-22, ILTIF, IL-D110","Oncology, Inflammation and Autoimmunity",F0,No,3,11305322132083916293
IL22RA,"IL22RA1, CRF2-9, IL22R",Inflammation and Autoimmunity,F0,No,0,67418836212031916937
IL23A,"IL23, IL-23A, IL23P19",Inflammation and Autoimmunity,F0,No,2,12591927799219916688
IL23R,IL-23R,Inflammation and Autoimmunity,,Yes,1,56832495721391916472
IL25,"IL17E, IL25",Inflammation and Autoimmunity,F0,No,0,61504603393555916655
IL2RA,"p55, CD25, IL2R, ","Oncology, Inflammation and Autoimmunity",F0,No,14,01910423193895916137
IL2RB,CD122,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,1,25392407978537916821
IL3,IL3,"Inflammation and Autoimmunity,  Others",F0,No,0,88162081516013916957
IL31,IL31,Inflammation and Autoimmunity,F0,No,0,95697457469445916103
IL31RA,IL31RA,Inflammation and Autoimmunity,F1(+/-),No,0,06763113072055916788
IL33,IL33,Inflammation and Autoimmunity,F1(+/-),No,4,14251656948190916995
IL36R,"IL-36R, IL1RL2",Inflammation and Autoimmunity,F1(+/-),No,2,32589473692462916938
IL3RA,"IL3RA, IL3R, CD123","Oncology,  Others,  Inflammation and Autoimmunity",F0,No,24,89494209252697916385
IL4,IL4,Inflammation and Autoimmunity,F0,No,12,72592263388112916297
IL4RA,"IL4RA, IL4R",Inflammation and Autoimmunity,F2(-/-),No,15,52026146910305916685
IL5,IL5,Inflammation and Autoimmunity,F0,No,7,77078448374145916638
IL5R,"IL5R, CD125",Inflammation and Autoimmunity,F0,No,3,89585389795827916578
IL6,"IL-6, BSF-2, IFNB2","Oncology, Inflammation and Autoimmunity",F1(+/-),No,37,55851758659778916469
IL6R,IL-6RA,Inflammation and Autoimmunity,F0,No,21,83289583030144916336
ILDR2,"ILDR2, C1orf32, dJ782G3.1",Oncology,F0,No,1,79985221955958916466
ITGAL,"ITGAL, CD11A, LFA-1",Inflammation and Autoimmunity,F0,No,6,70693036517368916818
ITGB6,"ITGB6, AI1H","Oncology, Inflammation and Autoimmunity",F1(+/-),No,0,59274403593916916953
ITGB7,ITGB7,Inflammation and Autoimmunity,F0,No,0,86849750309301916508
JAM-A,JAM-A,"Oncology,  Cardiovascular",F0,No,0,54723516511603916859
KIR,"KIR, KIR3DL1",Oncology,F0,No,0,42243263828488916869
L1CAM,"L1CAM, SPG1, CD171",Oncology,F0,No,0,85557227442131916926
LAG-3,LAG-3,Oncology,F2(-/-),No,19,76724920909085916221
LGALS9,"LGALS9, HUAT, LGALS9A","Oncology, Infectious Diseases",F0,No,0,55306105777820916458
LIGHT,"LIGHT, CD258, HVEML",Inflammation and Autoimmunity,F0,No,1,31149628631465916880
LRP5,"LRP5, HBM, LR3","Oncology, Ophthalmology",F0,No,0,57961220151422916431
