Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Pharmacodia ID,Launched Drugs
CD166,"MEMD,CD166","Oncology,Inflammation and Autoimmunity",F1(+/-),No,15286608559227916659,0
CD16A,"FCGR3A,CD16A",Oncology,In vitro,Yes,57697900903708916935,0
CD18,"CD18,MFI7,LCAMB",Oncology,F1(+/-),No,08161605990734916246,0
CD19,"CD19,B4,CVID3","Oncology,Inflammation and Autoimmunity",F0,No,08658265338578916276,6
CD2,CD2,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,76123926390403916981,1
CD20,"CD20,CVID5,LEU-16","Oncology,Inflammation and Autoimmunity",F2(-/-),No,69167746170650916458,24
CD200,"CD200,MRC,MOX1","Oncology,Inflammation and Autoimmunity,Infectious Diseases,Others",F1(+/-),No,77537355125232916510,0
CD200R,"OX2R,MOX2R,CD200R",Inflammation and Autoimmunity,F0,No,1310451640410574903,0
CD205,"CD205,LY-75,CLEC13B","Infectious Diseases,Oncology,Inflammation and Autoimmunity,Reproductive System Diseases",F0,No,15704883039394916560,0
CD22,"CD22,SIGLEC-2","Oncology,Inflammation and Autoimmunity",Immunization,No,86360205749459916687,2
CD226,CD226,Oncology,F2(-/-),No,1310451640410575019,0
CD23,"CD23,FCE2","Oncology,Inflammation and Autoimmunity",F0,No,15892773237899916950,0
CD24,CD24,Oncology,In vitro,Yes,1310451640410575021,0
CD26,"CD26,ADABP,ADCP2","Oncology,Inflammation and Autoimmunity",Antibody screening,No,15563742598470916601,29
CD27,"CD27,TNFRSF7,Tp55","Oncology,Inflammation and Autoimmunity",F1(+/-),No,55655070459597916180,0
CD30,"CD30,D1S166E, Ki-1",Oncology,F2(-/-),No,65910194357446916947,1
CD300a,"CD300a,IRC1,CMRF35H",Inflammation and Autoimmunity,F1(+/-),No,,
CD300LF,"CD300LF,CLM1,NKIR",Oncology,F1(+/-),No,,
CD30L,"CD153,CD30L,TNLG3A","Inflammation and Autoimmunity,Oncology",F0,No,1318732779642429471,0
CD31,"CD31,PECA1,PECAM-1",Others,F1(+/-),No,,
CD33,"CD33,SIGLEC-3",Oncology,F2(-/-),No,68819975007252916926,1
CD34,"CD34,","Ophthalmology,Oncology",F1(+/-),No,90674808599703916342,0
CD36,"CD36,FAT,GP3B","Oncology,Cardiovascular",F1(+/-),No,1310451640410575326,0
CD37,"CD37,GP52-40,TSPAN26",Oncology,F1(+/-),No,02601101396589916393,0
CD38,CD38,Oncology,F1(+/-),No,25217404131691916667,3
CD39,"CD39,ENTPD1",Oncology,F2(-/-),No,07272802723843916997,0
