Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
IL22,"IL-22, ILTIF, IL-D110","Oncology,Inflammation and Autoimmunity",F0,No,3
AMHR2,"AMHR, MRII, AMHR2",Oncology,F1(+/-),No,2
CXCR5,"BLR1, CD185, CXCR5","Oncology,Inflammation and Autoimmunity",F1(+/-),No,1
CLEC12A,"CLL1, CD371, CLEC12A",Oncology,,Yes,6
C5AR1,"C5AR, CD88, C5AR1","Oncology,Inflammation and Autoimmunity",F1(+/-),No,7
CXCR3,"CD182, CD183, CXCR3","Oncology,Inflammation and Autoimmunity",F1(+/-),No,3
IL25,"IL17E, IL25",Inflammation and Autoimmunity,F0,No,0
CSF1R,"CSFR, CD115, CSF1R","Oncology,Inflammation and Autoimmunity",F0,No,28
MERTK,"MER, RP38, MERTK","Oncology,Inflammation and Autoimmunity",F0,No,3
IL6,"IL-6, BSF-2, IFNB2","Oncology,Inflammation and Autoimmunity",F1(+/-),No,37
IL2RA,"p55, CD25, IL2R, ","Oncology,Inflammation and Autoimmunity",F1(+/-),No,14
CXCR2,"CD182, IL8RB, CXCR2","Oncology,Inflammation and Autoimmunity",F1(+/-),No,10
STEAP1,"STEAP, PRSS24, STEAP1",Oncology,F0,No,3
CD70,"CD27L, TNFSF7, CD70","Oncology,Inflammation and Autoimmunity",F0,No,9
OSM,OSM,Inflammation and Autoimmunity,F0,No,3
CXCL10,"CXCL10, IFI10, INP10",Inflammation and Autoimmunity,F0,No,5
CD37,"CD37, GP52-40, TSPAN26",Oncology,F0,No,8
MCSP,"MCSP, NG2, MCSP",Oncology,F0,No,0
CD18,"CD18, MFI7, LCAMB",Oncology,F0,No,0
GP100,"GP100, SIL, ME20",Oncology,F0,No,3
TNC,"TNC, HXB, GMEM",Oncology,F0,No,5
GPA33,GPA33,Oncology,F0,No,4
FLT3,"FLT3, FLK2, CD135","Oncology,Inflammation and Autoimmunity",F1(+/-),No,66
CD74,"CD74, p33,  DHLAG,  HLADG","Oncology,Inflammation and Autoimmunity",F0,No,8
CD138,"SDC,  CD138,  SYND1",Oncology,F0,No,3
MIF,"MIF, GIF,  GLIF","Oncology,Inflammation and Autoimmunity",F1(+/-),No,5
LIGHT,"LIGHT, CD258, HVEML",Inflammation and Autoimmunity,F0,No,1
AXL,"AXL, UFO,  JTK11",Oncology,F0,No,23
GPC3,"GPC3, OCI-5, GTR2-2",Oncology,F0,No,10
CDH17,"CDH17, HPT1",Oncology,F0,No,0
